7:17:06 PM  [main] 	Initializing Control Panel
7:17:06 PM  [main] 	Windows Version:  Home  64-bit
7:17:06 PM  [main] 	XAMPP Version: 5.6.30
7:17:06 PM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
7:17:06 PM  [main] 	You are not running with administrator rights! This will work for
7:17:06 PM  [main] 	most application stuff but whenever you do something with services
7:17:06 PM  [main] 	there will be a security dialogue or things will break! So think 
7:17:06 PM  [main] 	about running this application with administrator rights!
7:17:06 PM  [main] 	XAMPP Installation Directory: "c:\open-sooq-task\new folder\"
7:17:06 PM  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
7:17:06 PM  [main] 	Checking for prerequisites
7:17:06 PM  [main] 	All prerequisites found
7:17:06 PM  [main] 	Initializing Modules
7:17:06 PM  [main] 	Starting Check-Timer
7:17:06 PM  [main] 	Control Panel Ready
7:17:57 PM  [Apache] 	Attempting to start Apache app...
7:17:57 PM  [Apache] 	Status change detected: running
7:17:59 PM  [mysql] 	Attempting to start MySQL app...
7:17:59 PM  [mysql] 	Status change detected: running
7:58:18 PM  [Apache] 	Attempting to stop Apache (PID: 12012)
7:58:18 PM  [Apache] 	Attempting to stop Apache (PID: 11844)
7:58:19 PM  [Apache] 	Status change detected: stopped
7:58:21 PM  [mysql] 	Attempting to stop MySQL app...
7:58:22 PM  [mysql] 	Status change detected: stopped
7:58:23 PM  [main] 	Deinitializing Modules
7:58:23 PM  [main] 	Deinitializing Control Panel

